edge_id,pathway,node_x,node_y,k,n_studies,total_n,designs,has_rct,avg_beta,i_squared,pooled_beta,pooled_se,gap_tier,cancers,phases
ER_8OHDG_OIC,PW_M02_OXIDATIVE_STRESS,NODE_BIO_8OHDG,NODE_PATH_OIC,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_8OHDG,PW_M02_OXIDATIVE_STRESS,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_8OHDG,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_BDNF,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_BDNF,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_CEREBROVASCULAR,PW_M11_CEREBROVASCULAR,NODE_BEH_PHYSICAL_ACTIVITY,NODE_PATH_CEREBROVASCULAR,1,1,12,RCT,True,0.86,0.0,0.86,1.793799,SINGLE,breast,early_recovery
ER_ACTIVITY_COG_COMPLAINTS,PW_C2_FATIGUE,NODE_BEH_PHYSICAL_ACTIVITY,NODE_SYM_COG_COMPLAINTS,1,1,19,RCT,True,0.2635,0.0,0.263514,0.959157,SINGLE,breast,early_recovery
ER_ACTIVITY_CORTISOL,PW_M03_HPA_DYSREGULATION,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_CORTISOL,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_CRP,PW_M01_NEUROINFLAMMATION,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_CRP,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_DECONDITIONING,PW_C2_FATIGUE,NODE_BEH_PHYSICAL_ACTIVITY,NODE_SYM_DECONDITIONING,1,1,12,RCT,True,1.28,0.0,1.28,1.876318,SINGLE,breast,early_recovery
ER_ACTIVITY_EPIMEM,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_EPISODIC_MEM,2,2,31,RCT,True,0.1925,0.0,0.076303,1.122757,ADEQUATE,breast,early_recovery
ER_ACTIVITY_EXEC_PLAN,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_EXEC_PLANNING,1,1,12,RCT,True,0.75,0.0,0.75,1.777878,SINGLE,breast,early_recovery
ER_ACTIVITY_FATIGUE_DIRECT,PW_C2_FATIGUE,NODE_BEH_PHYSICAL_ACTIVITY,NODE_SYM_FATIGUE,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_GLUCOSE,PW_M13_METABOLIC,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_GLUCOSE,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_IL6,PW_M01_NEUROINFLAMMATION,NODE_BEH_PHYSICAL_ACTIVITY,NODE_BIO_IL6,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_NEUROPLAST,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_PATH_NEUROPLASTICITY,0,0,,,False,,0.0,,,MISSING,,
ER_ACTIVITY_PROC_SPEED,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_PROC_SPEED,1,1,19,RCT,True,-1.5604,0.0,-1.56044,1.368524,SINGLE,breast,early_recovery
ER_ACTIVITY_VERBAL_FLUENCY,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_VERBAL_FLUENCY,1,1,19,RCT,True,0.6977,0.0,0.697674,1.209626,SINGLE,breast,early_recovery
ER_ACTIVITY_WORKMEM,PW_M04_NEUROPLASTICITY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_WORK_MEM,1,1,12,RCT,True,0.81,0.0,0.81,1.78849,SINGLE,breast,early_recovery
ER_AGE_ACTIVITY,PW_C2_FATIGUE,NODE_EXO_AGE,NODE_BEH_PHYSICAL_ACTIVITY,0,0,,,False,,0.0,,,MISSING,,
ER_AGE_BDNF,PW_M04_NEUROPLASTICITY,NODE_EXO_AGE,NODE_BIO_BDNF,0,0,,,False,,0.0,,,MISSING,,
ER_ANXIETY_SELECTATTN,PW_C3_MOOD,NODE_SYM_ANXIETY,NODE_COG_ATTN_SELECTIVE,0,0,,,False,,0.0,,,MISSING,,
ER_ANXIETY_SLEEP,PW_C3_MOOD,NODE_SYM_ANXIETY,NODE_BEH_SLEEP_QUALITY,0,0,,,False,,0.0,,,MISSING,,
ER_APOE_OIC,PW_M01_NEUROINFLAMMATION,NODE_EXO_APOE,NODE_PATH_OIC,0,0,,,False,,0.0,,,MISSING,,
ER_APPETITE_DECONDITIONING,PW_M08_GUT_BRAIN,NODE_SYM_APPETITE,NODE_SYM_DECONDITIONING,0,0,,,False,,0.0,,,MISSING,,
